"dt","new_users","returning_users"
2019-10-01,190188,0
2019-10-02,152103,32862
2019-10-03,124262,46406
2019-10-04,143216,66194
2019-10-05,124922,70036
2019-10-06,117020,76190
2019-10-07,105832,81119
2019-10-08,127193,94011
2019-10-09,114997,99143
2019-10-10,103187,102134
2019-10-11,111968,118565
2019-10-12,94978,113377
2019-10-13,95967,129975
2019-10-14,83035,126054
2019-10-15,92943,137192
2019-10-16,97179,133020
2019-10-17,80882,127595
2019-10-18,87762,141701
2019-10-19,84636,133284
2019-10-20,91256,140593
2019-10-21,88674,136595
2019-10-22,87351,136033
2019-10-23,83375,135725
2019-10-24,76892,130045
2019-10-25,75203,148055
2019-10-26,68384,133788
2019-10-27,68147,133212
2019-10-28,63457,132106
2019-10-29,63387,129781
2019-10-30,61893,130072
2019-10-31,62001,136570
2019-11-01,67138,155970
2019-11-02,73479,161206
2019-11-03,71500,168687
2019-11-04,79544,196068
2019-11-05,74981,187357
2019-11-06,72463,184424
2019-11-07,81091,197897
2019-11-08,93664,192389
2019-11-09,82809,185834
2019-11-10,84347,191851
2019-11-11,89395,203005
2019-11-12,83288,202706
2019-11-13,82741,202667
2019-11-14,74680,234162
2019-11-16,94056,393271
2019-11-17,89726,397775
2019-11-18,79961,239576
2019-11-19,86522,204276
2019-11-20,93874,198026
2019-11-21,92477,194602
2019-11-22,64306,185095
2019-11-23,71173,178189
2019-11-24,63070,177456
2019-11-25,70525,187088
2019-11-26,58918,193609
2019-11-27,59748,196798
2019-11-28,60338,193641
2019-11-29,67229,219470
2019-11-30,59650,195847
2019-12-01,61940,197047
2019-12-02,56472,189622
2019-12-03,64030,193741
2019-12-04,55844,181038
2019-12-05,58213,190169
2019-12-06,61872,199486
2019-12-07,61788,201091
2019-12-08,63284,199232
2019-12-09,65371,204415
2019-12-10,70460,212644
2019-12-11,71316,205213
2019-12-12,82881,212627
2019-12-13,77997,204378
2019-12-14,72887,209119
2019-12-15,82753,238413
2019-12-16,83688,300168
2019-12-17,92468,291708
2019-12-18,102019,301522
2019-12-19,94256,289165
2019-12-20,84165,276318
2019-12-21,76619,256526
2019-12-22,103541,272996
2019-12-23,119268,279922
2019-12-24,107964,277070
2019-12-25,106054,280254
2019-12-26,102587,275223
2019-12-27,87750,253993
2019-12-28,53910,236101
2019-12-29,89522,285205
2019-12-30,129751,294046
2019-12-31,99319,236176
2020-01-01,74345,208138
2020-01-03,67506,228888
2020-01-04,72531,227690
2020-01-05,80721,235687
2020-01-06,69221,230122
2020-01-07,69464,219238
2020-01-08,66954,212072
2020-01-09,64192,206369
2020-01-10,61937,204059
2020-01-11,75811,207957
2020-01-12,79802,211766
2020-01-13,63813,214212
2020-01-14,64093,205779
2020-01-15,65198,205696
2020-01-16,65184,230647
2020-01-17,64261,226566
2020-01-18,95172,255314
2020-01-19,100581,269167
2020-01-20,89500,244752
2020-01-21,69263,237452
2020-01-22,64923,220556
2020-01-23,58661,224089
2020-01-24,48666,204699
2020-01-25,59593,205005
2020-01-26,61194,210630
2020-01-27,55232,198874
2020-01-28,57477,212631
2020-01-29,60208,209756
2020-01-30,69415,217996
2020-01-31,63370,273887
2020-02-01,96805,282083
2020-02-02,50030,240626
2020-02-03,48613,216130
2020-02-04,43022,199758
2020-02-05,46045,207469
2020-02-06,50558,212562
2020-02-07,54652,240020
2020-02-08,48854,208536
2020-02-09,55536,221625
2020-02-10,56101,220687
2020-02-11,52814,217099
2020-02-12,64451,291260
2020-02-13,83888,288904
2020-02-14,88500,254790
2020-02-15,72047,237951
2020-02-16,72485,271092
2020-02-17,77201,260521
2020-02-18,84055,264282
2020-02-19,80313,259534
2020-02-20,80422,270371
2020-02-21,71567,242563
2020-02-22,72532,236730
2020-02-23,70171,239233
2020-02-24,69566,246352
2020-02-25,68226,240574
2020-02-26,67048,247514
2020-02-28,42845,146947
2020-02-29,55930,178538
2020-03-01,67117,227002
2020-03-02,73796,292971
2020-03-03,85106,310262
2020-03-04,79851,312829
2020-03-05,89201,317518
2020-03-06,84249,296551
2020-03-07,87039,299007
2020-03-08,73781,264817
2020-03-09,83030,295670
2020-03-10,90044,298940
2020-03-11,96943,276003
2020-03-12,62932,242836
2020-03-13,44986,200781
2020-03-14,37172,183727
2020-03-15,37153,182951
2020-03-16,38328,181496
2020-03-17,34777,169722
2020-03-18,29007,150324
2020-03-19,35621,164022
2020-03-20,53838,169292
2020-03-21,37089,170368
2020-03-22,34908,161684
2020-03-23,37654,170567
2020-03-24,37633,171524
2020-03-25,38009,171384
2020-03-26,38748,167975
2020-03-27,38249,163101
2020-03-28,35915,161556
2020-03-29,33824,152643
2020-03-30,36911,152628
2020-03-31,36956,155807
2020-04-01,42121,170690
2020-04-02,49597,172529
2020-04-03,49140,175009
2020-04-04,49725,170339
2020-04-05,45420,169232
2020-04-06,50209,172284
2020-04-07,52306,173033
2020-04-08,58952,190964
2020-04-09,59695,201984
2020-04-10,67523,212852
2020-04-11,69239,215361
2020-04-12,72823,220490
2020-04-13,83379,236732
2020-04-14,71386,217629
2020-04-15,85644,258037
2020-04-16,89878,287303
2020-04-17,86126,276254
2020-04-18,78349,262311
2020-04-19,68261,239691
2020-04-22,76718,277505
2020-04-23,79725,281900
2020-04-24,86660,289832
2020-04-25,84038,286399
2020-04-26,90511,290052
2020-04-27,84068,290176
2020-04-28,77191,297262
2020-04-29,74030,288296
2020-04-30,69148,283274
